State,Year,Number With Current Asthma,Percent With Current Asthma,State Abbreviation
New Hampshire,2014,107371,10.2,NH
New Jersey,2014,570238,8.3,NJ
New Mexico,2014,154861,9.9,NM
New York,2014,1642598,10.7,NY
North Carolina,2014,592279,7.8,NC
North Dakota,2014,50533,8.7,ND
Ohio,2014,957711,10.8,OH
Oklahoma,2014,284303,9.7,OK
Oregon,2014,314501,10.2,OR
Pennsylvania,2014,979527,9.8,PA
Rhode Island,2014,89462,10.8,RI
South Carolina,2014,309409,8.3,SC
South Dakota,2014,48213,7.5,SD
Tennessee,2014,448189,8.9,TN
Texas,2014,1312573,6.7,TX
Utah,2014,178514,8.7,UT
Vermont,2014,56644,11.3,VT
Virginia,2014,556765,8.6,VA
Washington,2014,500993,9.3,WA
West Virginia,2014,161534,11,WV
Wisconsin,2014,456134,10.3,WI
Wyoming,2014,37351,8.3,WY
Guam,2014,5972,5.6,
Puerto Rico,2014,298155,10.6,
