Year,State,% Good Days,% Moderate Days,% Unhealthy for Sensitive Groups Days,% Unhealthy Days,% Very Unhealthy Days,% Hazardous Days,90th Percentile AQI,Median AQI,Number With Current Asthma,Percent With Current Asthma
2019,Michigan,0.81946,0.17794,0.0026,0,0,0,53.39286,37.10714,867732,11.1
2019,Minnesota,0.83073,0.16834,0.0008,0.00014,0,0,53.57143,33.19048,358668,8.3
2019,Mississippi,0.69043,0.30902,0.00055,0,0,0,57.5,43.7,225468,9.9
2019,Missouri,0.79117,0.20661,0.00202,0.0002,0,0,55.38095,40.7619,479037,10.1
2019,Montana,0.83669,0.16154,0.00144,0.00032,0,0,51.57895,30.73684,83280,10
2019,Nebraska,0.87641,0.12359,0,0,0,0,47.55556,29.44444,116768,8
2019,Nevada,0.80827,0.1896,0.00213,0,0,0,53.44444,35.44444,224825,9.4
2019,New Hampshire,0.92952,0.07008,0.00039,0,0,0,48.28571,36.28571,119305,10.8
2019,New Jersey,0.68119,0.3144,0.00441,0,0,0,60.8125,43.5,844670,9.5
2019,New Mexico,0.77955,0.2112,0.00754,0.00086,0.00034,0.00052,55.4375,33.3125,134715,8.4
2019,New York,0.85716,0.14074,0.00209,0,0,0,51.75862,37.10345,1419951,9.3
2019,North Carolina,0.75573,0.24316,0.00112,0,0,0,57.36111,42.08333,681689,8.3
2019,North Dakota,0.89761,0.10184,0.00028,0.00028,0,0,49.8,34.9,47369,8.1
2019,Ohio,0.72954,0.26787,0.00259,0,0,0,56.975,40.5,1009034,11.1
2019,Oklahoma,0.74468,0.25352,0.00147,0.00034,0,0,55.63636,39.45455,302947,10.2
2019,Oregon,0.75161,0.24295,0.00465,0.0008,0,0,60.91667,33.08333,369735,11.1
2019,Pennsylvania,0.71899,0.27648,0.00405,0.00048,0,0,59.35,42.05,1104033,10.9
2019,Puerto Rico,0.80639,0.1865,0.00683,0.00029,0,0,53.5,26.9,287511,10.5
2019,Rhode Island,0.81157,0.18653,0.00189,0,0,0,53.33333,39.33333,94817,11.2
2019,South Carolina,0.778,0.21997,0.00204,0,0,0,53.66667,38.22222,376358,9.4
2019,South Dakota,0.86649,0.13076,0.00275,0,0,0,52.4,33.5,56510,8.5
2019,Tennessee,0.72048,0.27819,0.00133,0,0,0,57.65217,41.21739,463655,8.8
2019,Texas,0.69669,0.29381,0.00882,0.0006,7.00E-05,0,60.39024,42.21951,1532311,7.1
2019,Utah,0.71339,0.27101,0.01322,0.00164,0.00073,0,63.33333,43.93333,223768,9.9
2019,Vermont,0.87499,0.12501,0,0,0,0,47,31.75,59140,11.6
2019,Virginia,0.8764,0.12325,0.00035,0,0,0,47.1875,34.46875,586339,8.8
2019,Washington,0.79282,0.20558,0.00159,0,0,0,55.96774,31.03226,590642,9.9
2019,West Virginia,0.81663,0.18266,0.00071,0,0,0,54.35714,38.78571,164016,11.5
2019,Wisconsin,0.81413,0.18354,0.00233,0,0,0,55.74074,38.55556,460075,10.2
2019,Wyoming,0.86255,0.13364,0.00336,0.00046,0,0,52.38889,38.94444,41968,9.5
2014,Alabama,0.72066,0.27647,0.00288,0,0,0,58.94444,41.77778,353847,9.5
2014,Alaska,0.79779,0.1677,0.01613,0.01633,0.00205,0,62,27,44865,8.1
2014,Arizona,0.61769,0.34353,0.02993,0.00485,0.00148,0.00253,73.46154,44.61538,484115,9.6
2014,Arkansas,0.68941,0.30984,0.00075,0,0,0,60.18182,42.45455,197478,8.8
2014,California,0.47398,0.44366,0.06614,0.015,0.00056,0.00066,86.01852,52.51852,2279568,7.8
2014,Colorado,0.78155,0.20924,0.00847,0.00065,9.00E-05,0,57.33333,37.23333,342994,8.4
2014,Connecticut,0.64306,0.33071,0.02485,0.00137,0,0,69.875,45.125,257311,9.2
2014,Delaware,0.52021,0.46791,0.01096,0.00091,0,0,69.66667,49.66667,63855,8.8
2014,Florida,0.72947,0.26798,0.0024,0.00015,0,0,55.48718,40.79487,1268162,8
