Year,State,% Good Days,% Moderate Days,% Unhealthy for Sensitive Groups Days,% Unhealthy Days,% Very Unhealthy Days,% Hazardous Days,% Ozone Days,% PM2.5 Days,90th Percentile AQI,Median AQI
2018,Virgin Islands,0.80709,0.19109,0.00182,0.0,0.0,0.0,0.0,1.0,50.66667,32.33333
2018,Virginia,0.85978,0.13959,0.00063,0.0,0.0,0.0,0.48839,0.31895,48.46875,32.71875
2018,Washington,0.75861,0.21382,0.01417,0.0113,0.00174,0.00037,0.1058,0.87621,62.06667,31.66667
2018,West Virginia,0.79331,0.20604,0.00065,0.0,0.0,0.0,0.52489,0.40887,55.35714,37.28571
2018,Wisconsin,0.76248,0.22664,0.00918,0.0017,0.0,0.0,0.69646,0.30263,62.55556,41.62963
2018,Wyoming,0.77745,0.21852,0.00358,0.00046,0.0,0.0,0.76069,0.07285,59.27778,39.77778
2019,Alabama,0.68972,0.3073,0.00298,0.0,0.0,0.0,0.47392,0.52462,58.58824,43.47059
2019,Alaska,0.84462,0.13729,0.01014,0.00644,0.0003,0.00122,0.13724,0.77734,49.55556,23.11111
2019,Arizona,0.67556,0.30441,0.0175,0.00042,0.00063,0.00148,0.60778,0.17719,64.46154,43.07692
2019,Arkansas,0.65036,0.34922,0.00042,0.0,0.0,0.0,0.27612,0.72346,57.69231,43.76923
2019,California,0.60388,0.35103,0.0364,0.00729,0.00062,0.00078,0.55585,0.40923,75.35849,46.71698
2019,Colorado,0.74316,0.25029,0.00637,0.00018,0.0,0.0,0.60762,0.22758,57.12903,38.09677
2019,Connecticut,0.78977,0.18656,0.02134,0.00232,0.0,0.0,0.70906,0.28478,59.25,41.125
2019,Country Of Mexico,0.48036,0.38766,0.13198,0.0,0.0,0.0,0.5,0.0,89.0,57.5
2019,Delaware,0.64475,0.35251,0.00274,0.0,0.0,0.0,0.53059,0.46667,64.33333,45.0
2019,District Of Columbia,0.53425,0.45205,0.01096,0.00274,0.0,0.0,0.43836,0.51781,73.0,49.0
2019,Florida,0.77797,0.22069,0.00135,0.0,0.0,0.0,0.49621,0.47568,54.23077,40.0
2019,Georgia,0.65542,0.33968,0.00462,0.00029,0.0,0.0,0.39306,0.60287,60.41379,44.55172
2019,Hawaii,0.97383,0.0234,0.00207,0.00069,0.0,0.0,0.18219,0.74207,36.25,21.25
2019,Idaho,0.80178,0.19478,0.00303,0.00041,0.0,0.0,0.09328,0.8763,54.25,30.55
2019,Illinois,0.65002,0.34585,0.00377,0.00036,0.0,0.0,0.52936,0.44842,61.17391,45.17391
2019,Indiana,0.73901,0.2595,0.00148,0.0,0.0,0.0,0.59081,0.40764,56.67568,40.83784
2019,Iowa,0.70812,0.29154,0.00034,0.0,0.0,0.0,0.27165,0.64762,57.6875,40.4375
2019,Kansas,0.8123,0.18618,0.00127,0.00025,0.0,0.0,0.44028,0.3657,51.54545,34.27273
2019,Kentucky,0.77723,0.22221,0.00056,0.0,0.0,0.0,0.64927,0.34433,54.92593,42.62963
2019,Louisiana,0.71737,0.28099,0.00164,0.0,0.0,0.0,0.48297,0.50616,57.59091,40.68182
2019,Maine,0.89383,0.10492,0.00098,0.00027,0.0,0.0,0.64995,0.308,49.2,35.6
2019,Maryland,0.75607,0.23539,0.00855,0.0,0.0,0.0,0.67363,0.30426,60.3125,42.5625
2019,Massachusetts,0.79343,0.20548,0.00109,0.0,0.0,0.0,0.58738,0.40416,53.69231,40.76923
2019,Michigan,0.81946,0.17794,0.0026,0.0,0.0,0.0,0.61217,0.34203,53.39286,37.10714
2019,Minnesota,0.83073,0.16834,0.0008,0.00014,0.0,0.0,0.38283,0.59283,53.57143,33.19048
2019,Mississippi,0.69043,0.30902,0.00055,0.0,0.0,0.0,0.44901,0.55099,57.5,43.7
2019,Missouri,0.79117,0.20661,0.00202,0.0002,0.0,0.0,0.59519,0.37153,55.38095,40.7619
2019,Montana,0.83669,0.16154,0.00144,0.00032,0.0,0.0,0.26316,0.70298,51.57895,30.73684
2019,Nebraska,0.87641,0.12359,0.0,0.0,0.0,0.0,0.24116,0.64712,47.55556,29.44444
2019,Nevada,0.80827,0.1896,0.00213,0.0,0.0,0.0,0.57283,0.20518,53.44444,35.44444
2019,New Hampshire,0.92952,0.07008,0.00039,0.0,0.0,0.0,0.7756,0.2244,48.28571,36.28571
2019,New Jersey,0.68119,0.3144,0.00441,0.0,0.0,0.0,0.49254,0.47027,60.8125,43.5
2019,New Mexico,0.77955,0.2112,0.00754,0.00086,0.00034,0.00052,0.49071,0.4283,55.4375,33.3125
2019,New York,0.85716,0.14074,0.00209,0.0,0.0,0.0,0.67013,0.32212,51.75862,37.10345
2019,North Carolina,0.75573,0.24316,0.00112,0.0,0.0,0.0,0.59586,0.38886,57.36111,42.08333
2019,North Dakota,0.89761,0.10184,0.00028,0.00028,0.0,0.0,0.7027,0.29043,49.8,34.9
2019,Ohio,0.72954,0.26787,0.00259,0.0,0.0,0.0,0.52236,0.39497,56.975,40.5
2019,Oklahoma,0.74468,0.25352,0.00147,0.00034,0.0,0.0,0.48342,0.41764,55.63636,39.45455
2019,Oregon,0.75161,0.24295,0.00465,0.0008,0.0,0.0,0.1175,0.88021,60.91667,33.08333
2019,Pennsylvania,0.71899,0.27648,0.00405,0.00048,0.0,0.0,0.53846,0.4568,59.35,42.05
2019,Puerto Rico,0.80639,0.1865,0.00683,0.00029,0.0,0.0,0.06018,0.55784,53.5,26.9
2019,Rhode Island,0.81157,0.18653,0.00189,0.0,0.0,0.0,0.5208,0.47737,53.33333,39.33333
